Location Name,PlacingStartDate,PlacingEndDate,Manufacturer,Model,Version,SerialNumber,Comment,PPM
Redhill,20-Jun-24,14-Aug-24,Vaisala,PTB110,,W0727097,,FALSE
Hadlow,09-Jul-24,,Vaisala,HMP155,E,T4721228,PPM,TRUE
Campbell Sci Ltd,09-Jul-24,14-Aug-24,Vaisala,HMP155,A,L1320543 ,PPM,TRUE
Writtle,10-Jul-24,,Vaisala,HMP155,E,T4741134,,TRUE
Writtle,10-Jul-24,,Lambrecht,rainE,,881821.0001,PPM,TRUE
Campbell Sci Ltd,10-Jul-24,,Lambrecht,rainE,,881821.0018,PPM,TRUE
Elmsett,11-Jul-24,,Vaisala,HMP155,A,M2920120,,TRUE
Campbell Sci Ltd,11-Jul-24,,Vaisala,HMP155,A,P4010607,,TRUE
Elmsett,11-Jul-24,,Campbell Scientific Ltd,NL116,,4726,,TRUE
Campbell Sci Ltd,11-Jul-24,,Campbell Scientific Ltd,NL115,,13467,,TRUE
Fincham,11-Jul-24,,Vaisala,HMP155,A,V1051036,,TRUE
Campbell Sci Ltd,11-Jul-24,24-Sep-24,Vaisala,HMP155,A,N5050078,,TRUE
Fincham,11-Jul-24,,Hukseflux,NR01,,3687,,TRUE
Campbell Sci Ltd,11-Jul-24,,Hukseflux,NR01,,2755,,TRUE
Fincham,11-Jul-24,,Vaisala,PTB110,,T4650756,,TRUE
Campbell Sci Ltd,11-Jul-24,,Vaisala,PTB110,,T4650713,,TRUE
Fincham,11-Jul-24,,Lambrecht,rainE,,881821.0046,,TRUE
Campbell Sci Ltd,11-Jul-24,,Lambrecht,rainE,,881821.0013,,TRUE
Riseholme,16-Jul-24,,Campbell Scientific Ltd,CR3000,,9891,,TRUE
Campbell Sci Ltd,16-Jul-24,06-Aug-24,Vaisala,HMP155,E,T2650702,,TRUE
Riseholme,16-Jul-24,,Vaisala,HMP155,E,V1051035,,TRUE
Wimpole,17-Jul-24,,Vaisala,HMP155,A,V1051041,PPM,TRUE
Campbell Sci Ltd,17-Jul-24,08-Aug-24,Vaisala,HMP155,A,V1051040,PPM,TRUE
Wimpole,17-Jul-24,,Hukseflux,NR01,,2859,PPM,TRUE
Campbell Sci Ltd,17-Jul-24,,Hukseflux,NR01,,2150,PPM,TRUE
Cardington,18-Jul-24,,Vaisala,HMP155,E,T4721225,PPM,TRUE
Campbell Sci Ltd,18-Jul-24,01-Aug-24,Vaisala,HMP155,A,P4010599,PPM,TRUE
Cardington,18-Jul-24,,Campbell Scientific Ltd,CR3000,,9024,PPM,TRUE
Campbell Sci Ltd,18-Jul-24,,Campbell Scientific Ltd,CR3000,,12865,PPM,TRUE
Cardington,18-Jul-24,,Campbell Scientific Ltd,NL115,,13628,PPM,TRUE
Campbell Sci Ltd,18-Jul-24,,Campbell Scientific Ltd,NL115,,13473,PPM,TRUE
Cardington,18-Jul-24,,Vaisala,PTB110,,T4740215,PPM,TRUE
Cwm Garw,23-Jul-24,,Vaisala,HMP155,E,V1051037,,TRUE
Cwm Garw,23-Jul-24,,Vaisala,PTB110,,K4840003,PPM,TRUE
Campbell Sci Ltd,23-Jul-24,,Vaisala,PTB110,,P0710626,PPM,TRUE
Cwm Garw,23-Jul-24,,Acclima,TDT,SDI-12,6503225,PPM,TRUE
Campbell Sci Ltd,23-Jul-24,,Acclima,TDT,SDI-12,6501257,PPM,TRUE
Cwm Garw,23-Jul-24,,Acclima,TDT,SDI-12,6501247,PPM,TRUE
Campbell Sci Ltd,23-Jul-24,,Acclima,TDT,SDI-12,6501282,PPM,TRUE
Henfaes Farm,25-Jul-24,,Campbell Scientific Ltd,CR3000,,9889,,TRUE
Campbell Sci Ltd,25-Jul-24,,Campbell Scientific Ltd,CR3000,,13071,,TRUE
Henfaes Farm,25-Jul-24,,Vaisala,PTB110,,R3510589,,TRUE
Campbell Sci Ltd,25-Jul-24,,Vaisala,PTB110,,T4650763,,TRUE
