ID,SERIAL_NUMBER,START_DATETIME,END_DATETIME,FIRMWARE,INSTRUMENT_ID
294,342250,31/01/2017,17/11/2017,1.40.1,RG
295,342251,08/10/2020,,1.50.3,RG
296,342251,18/10/2018,29/10/2019,1.50.0,RG
297,342251,29/10/2019,08/10/2020,1.50.1,RG
298,342251,,18/10/2018,1.30.1,RG
299,342253,25/07/2019,,1.50.3,RG
300,342254,,13/09/2018,1.30.1,RG
301,342254,13/09/2018,19/09/2019,1.50.0,RG
302,342254,19/09/2019,,1.50.3,RG
303,342255,13/02/2020,,1.50.3,RG
304,352952,28/08/2019,,1.50.3,RG
305,358372,17/10/2019,,1.50.3,RG
306,358372,05/07/2018,,1.50.0,RG
307,358372,23/08/2017,05/07/2018,1.31.0,RG
308,358373,27/09/2019,,1.50.3,RG
309,358373,19/07/2018,27/09/2019,1.50.1,RG
310,358374,,23/10/2019,1.50.0,RG
311,358374,23/10/2019,,1.50.3,RG
312,358375,23/03/2017,24/10/2018,1.40.1,RG
313,358375,24/10/2018,,1.50.0,RG
314,358376,24/09/2019,,1.50.3,RG
315,358377,19/07/2018,23/09/2019,1.50.1,RG
316,358377,23/09/2019,,1.50.3,RG
317,358378,28/06/2018,,1.50.0,RG
318,358378,22/08/2019,,1.50.3,RG
319,358378,,28/06/2018,1.31.0,RG
320,358379,04/07/2017,23/10/2018,1.31.0,RG
321,358379,23/10/2018,20/11/2019,1.50.0,RG
322,358379,20/11/2019,,1.50.3,RG
323,358380,10/08/2017,25/10/2018,1.31.0,RG
324,358380,25/10/2018,,1.50.0,RG
325,358380,21/11/2019,,1.50.3,RG
326,358381,13/02/2020,,1.50.3,RG
327,358381,16/08/2017,08/08/2018,,RG
328,358381,08/08/2018,13/02/2020,1.50.0,RG
329,368534,20/08/2019,,1.50.3,RG
330,368535,01/02/2017,03/07/2018,1.40.1,RG
331,368535,27/08/2019,,1.50.3,RG
332,368535,03/07/2018,27/08/2019,1.50.0,RG
333,368536,19/09/2019,,1.50.3,RG
334,368537,16/08/2018,05/09/2019,1.50.0,RG
335,368537,,16/08/2018,1.31.0,RG
336,368537,05/09/2019,,1.50.3,RG
337,368538,11/04/2018,27/06/2018,1.30.1,RG
338,368538,12/08/2019,,1.50.3,RG
339,368538,27/06/2018,12/08/2019,1.50.1,RG
340,387935,11/06/2019,,1.50.3,RG
341,387935,27/06/2018,11/06/2019,1.50.0,RG
342,387936,23/04/2018,13/08/2019,1.50.0,RG
343,387936,,19/04/2017,1.32.0,RG
344,387936,19/04/2017,23/04/2018,1.40.1,RG
345,387936,13/08/2019,,1.50.3,RG
346,387937,20/04/2017,19/07/2018,1.40.1,RG
347,387937,,20/04/2017,1.32.0,RG
348,387937,19/07/2018,25/09/2019,1.50.1,RG
349,387937,25/09/2019,,1.50.3,RG
350,387938,15/01/2016,15/11/2018,1.32.0,RG
351,387938,15/11/2018,10/10/2019,1.50.0,RG
352,387938,10/10/2019,,1.50.3,RG
353,387939,01/08/2019,,1.50.0,RG
354,387940,06/07/2017,,1.40.1,RG
355,387940,29/06/2016,06/07/2017,1.30.1,RG
356,387941,21/08/2019,,1.50.3,RG
357,8471,17/07/2020,,CR3000.Std.31.03,LOGGER
358,8473,,,CR3000.Std.25,LOGGER
359,8475,,,CR3000.Std.25,LOGGER
360,8.6379040892e+13,07/11/2019,,3.2.204,MODEM_PRO
361,8.6387904089e+14,02/10/2019,,3.2.204,MODEM_PRO
362,8.6387904089e+14,15/11/2019,,3.2.204,MODEM_PRO
363,8.6387904089e+14,02/10/2019,,3.2.204,MODEM_PRO
364,8.638790409e+14,19/11/2019,,3.2.204,MODEM_PRO
365,8.6387904114e+14,04/10/2019,,3.2.204,MODEM_PRO
366,8.6733770205e+15,16/09/2019,,3.2.69,MODEM_PRO
367,8.6737702042e+14,16/09/2019,,3.2.88,MODEM_PRO
368,8.6737702046e+14,16/06/2020,,3.2.234,MODEM_PRO
369,8.6737702046e+14,16/09/2019,16/06/2020,3.2.180,MODEM_PRO
370,8.6737702046e+14,16/09/2019,,3.2.69,MODEM_PRO
371,8.6737702046e+14,12/09/2019,,3.2.119,MODEM_PRO
372,8.6737702046e+14,16/09/2019,,3.2.69,MODEM_PRO
373,8.6737702046e+14,12/09/2019,,3.2.119,MODEM_PRO
374,8.6737702046e+14,16/09/2019,21/11/2019,3.2.69,MODEM_PRO
375,8.6737702046e+14,16/09/2019,,3.2.69,MODEM_PRO
376,8.6737702046e+14,16/09/2019,,3.2.69,MODEM_PRO
377,8.6737702127e+15,16/09/2019,,3.2.119,MODEM_PRO
378,8.6737702127e+14,12/09/2019,,3.2.119,MODEM_PRO
379,8.6737702132e+14,16/09/2019,,3.2.119,MODEM_PRO
