VARIABLE_NAME,DESCRIPTION,PROPERTY,QUDT_QUANTITY_KIND,PROPERTY_NAME,OBJECT,CONTEXT,DOMAIN,UNIT,QUDT_UNIT,UNIT_NAME
TDT7_SOILEC,Soil Electrical conductivity 7,COND,Conductivity,Electrical conductivity,soil,TDT 7,lithosphere,PCT,PERCENT,percent
TDT7_SOILPERM,Soil bulk relative permittivity 7,PERM,PermittivityRatio,Relative permittivity,soil,TDT 7,lithosphere,UNITLESS,UNITLESS,
TDT7_TSOIL,Soil temperature 7,TSOIL,Temperature,Soil Temperature,soil,TDT 7,lithosphere,DEGC,DEG_C,degree celsius
TDT7_VWC,Soil moisture content 7,VWC,,Moisture content,soil,TDT 7,lithosphere,PCT,PERCENT,percent
TDT8_SOILEC,Soil Electrical conductivity 8,COND,Conductivity,Electrical conductivity,soil,TDT 8,lithosphere,PCT,PERCENT,percent
TDT8_SOILPERM,Soil bulk relative permittivity 8,PERM,PermittivityRatio,Relative permittivity,soil,TDT 8,lithosphere,UNITLESS,UNITLESS,
TDT8_TSOIL,Soil temperature 8,TSOIL,Temperature,Soil Temperature,soil,TDT 8,lithosphere,DEGC,DEG_C,degree celsius
TDT8_VWC,Soil moisture content 8,VWC,,Moisture content,soil,TDT 8,lithosphere,PCT,PERCENT,percent
TDT9_SOILEC,Soil Electrical conductivity 9,COND,Conductivity,Electrical conductivity,soil,TDT 9,lithosphere,PCT,PERCENT,percent
TDT9_SOILPERM,Soil bulk relative permittivity 9,PERM,PermittivityRatio,Relative permittivity,soil,TDT 9,lithosphere,UNITLESS,UNITLESS,
TDT9_TSOIL,Soil temperature 9,TSOIL,Temperature,Soil Temperature,soil,TDT 9,lithosphere,DEGC,DEG_C,degree celsius
TDT9_VWC,Soil moisture content 9,VWC,,Moisture content,soil,TDT 9,lithosphere,PCT,PERCENT,percent
TNR01C,Radiometer body temperature,TNR01C,Temperature,Radiometer body temperature,radiometer,,,DEGC,DEG_C,degree celsius
TS,Sonic temperature,TEMP,Temperature,Sonic temperature,air,,atmosphere,DEGC,DEG_C,degree celsius
UX,X component of windspeed,WS,Speed,Windspeed,air,ux,atmosphere,MS-1,M-PER-SEC,ms-1
UY,Y component of windspeed,WS,Speed,Windspeed,air,uy,atmosphere,MS-1,M-PER-SEC,ms-1
UZ,Z component of windspeed,WS,Speed,Windspeed,air,uz,atmosphere,MS-1,M-PER-SEC,ms-1
U_STAR,Friction velocity,FRICTIONV,Velocity,Friction velocity,air,,atmosphere,MS-1,M-PER-SEC,ms-1
WD,Wind direction,WD,,Wind direction,air,,atmosphere,DEG,,degrees
WS,Wind speed,WS,Velocity,Wind speed,windspeed,,atmosphere,MS-1,M-PER-SEC,ms-1
WS_RES,Resultant wind speed,WS,Velocity,Wind speed,windspeed,,atmosphere,MS-1,M-PER-SEC,ms-1
