"MASK_FILENAME","START_DATETIME","END_DATETIME"
"SYDLG_LAND1_MASK_5184_2.dat",25-08-2020 10:45,
"TADHM_LAND1_MASK_1600_1.dat",14-10-2014 12:00,20-11-2018 14:45
"TADHM_LAND1_MASK_1600_2.dat",04-12-2018 10:30,11-12-2019 11:50
"TADHM_LAND1_MASK_1600_3.dat",11-12-2019 14:45,
"TADHM_LAND1_MASK_2560_1.dat",14-10-2014 12:00,20-11-2018 14:45
"TADHM_LAND1_MASK_2560_2.dat",04-12-2018 10:30,11-12-2019 11:50
"TADHM_LAND1_MASK_2560_3.dat",11-12-2019 14:45,
"TADHM_LAND1_MASK_4096_1.dat",14-10-2014 12:00,20-11-2018 14:45
"TADHM_LAND1_MASK_4096_3.dat",11-12-2019 14:45,
"WADDN_LAND1_MASK_1600_1.dat",04-11-2013 18:30,04-10-2018 07:55
"WADDN_LAND1_MASK_1600_2.dat",04-10-2018 13:15,13-02-2020 08:55
"WADDN_LAND1_MASK_2560_1.dat",04-11-2013 18:30,04-10-2018 07:55
"WADDN_LAND1_MASK_2560_3.dat",14-02-2020 11:35,03-06-2021 08:50
"WADDN_LAND1_MASK_4096_1.dat",04-11-2013 18:30,04-10-2018 07:55
"WADDN_LAND1_MASK_5472_4.dat",03-06-2021 10:30,
"WIMPL_LAND1_MASK_1600_1.dat",11-09-2019 08:35,
"WIMPL_LAND1_MASK_2560_1.dat",11-09-2019 08:35,
"WIMPL_LAND1_MASK_4096_1.dat",11-09-2019 08:35,
"WRTTL_LAND1_MASK_1600_1.dat",04-07-2017 10:30,23-10-2018 09:55
"WRTTL_LAND1_MASK_1600_2.dat",23-10-2018 11:45,20-08-2020 14:50
"WRTTL_LAND1_MASK_1600_3.dat",21-08-2020 09:05,
"WRTTL_LAND1_MASK_2560_1.dat",04-07-2017 10:30,23-10-2018 09:55
"WRTTL_LAND1_MASK_2560_2.dat",23-10-2018 11:45,20-08-2020 14:50
"WRTTL_LAND1_MASK_2560_3.dat",21-08-2020 09:05,
"WRTTL_LAND1_MASK_4096_1.dat",04-07-2017 10:30,23-10-2018 09:55
"WRTTL_LAND1_MASK_4096_3.dat",21-08-2020 09:05,
"HILLB_LAND1_MASK_1600_1.dat",14-06-2016 17:00,03-08-2021 14:50
"HILLB_LAND1_MASK_2560_1.dat",14-06-2016 17:00,03-08-2021 14:50
"HILLB_LAND1_MASK_4096_1.dat",14-06-2016 17:00,03-08-2021 14:50
"HILLB_LAND1_MASK_4096_2.dat",04-08-2021 09:20,
"HLACY_LAND1_MASK_1600_2.dat",14-09-2018 13:40,
"HLACY_LAND1_MASK_2560_1.dat",11-04-2018 10:45,14-09-2018 11:55
"HLACY_LAND1_MASK_2560_2.dat",14-09-2018 13:40,
"HLACY_LAND1_MASK_5184_2.dat",14-09-2018 13:40,
"HOLLN_LAND1_MASK_1600_1.dat",25-03-2014 12:30,19-12-2018 10:55
"HOLLN_LAND1_MASK_1600_2.dat",19-12-2018 13:50,03-05-2022 11:15
"HOLLN_LAND1_MASK_2560_1.dat",25-03-2014 12:30,19-12-2018 10:55
"HOLLN_LAND1_MASK_2560_2.dat",19-12-2018 13:50,03-05-2022 11:15
"HOLLN_LAND1_MASK_4096_1.dat",25-03-2014 12:30,19-12-2018 10:55
"HOLLN_LAND1_MASK_4096_2.dat",19-12-2018 13:50,03-05-2022 11:15
"HOLLN_LAND1_MASK_4096_3.dat",03-05-2022 11:20,
"HYBRY_LAND1_MASK_1600_1.dat",16-08-2017 12:30,18-10-2018 10:55
"HYBRY_LAND1_MASK_1600_3.dat",13-10-2020 09:15,
"HYBRY_LAND1_MASK_2560_1.dat",16-08-2017 12:30,18-10-2018 10:55
"HYBRY_LAND1_MASK_2560_2.dat",06-11-2018 13:10,13-10-2020 08:40
"HYBRY_LAND1_MASK_2560_3.dat",13-10-2020 09:15,
"HYBRY_LAND1_MASK_4096_1.dat",16-08-2017 12:30,18-10-2018 10:55
"HYBRY_LAND1_MASK_4096_3.dat",13-10-2020 09:15,
"HYBRY_LAND1_MASK_5184_3.dat",13-10-2020 09:15,
"LIZRD_LAND1_MASK_1600_1.dat",17-10-2014 12:00,06-12-2018 08:50
"LIZRD_LAND1_MASK_1600_2.dat",06-12-2018 11:30,25-05-2019 11:55
"LIZRD_LAND1_MASK_1600_3.dat",25-05-2019 13:45,13-12-2019 08:55
"LIZRD_LAND1_MASK_1600_4.dat",27-08-2020 14:20,
"LIZRD_LAND1_MASK_2560_1.dat",17-10-2014 12:00,06-12-2018 08:50
"LIZRD_LAND1_MASK_4096_1.dat",17-10-2014 12:00,06-12-2018 08:50
"LIZRD_LAND1_MASK_4096_4.dat",27-08-2020 14:20,
"LODTN_LAND1_MASK_1600_2.dat",10-05-2016 10:50,23-04-2018 11:50
"LODTN_LAND1_MASK_1600_3.dat",23-04-2018 13:20,11-09-2019 11:50
"LODTN_LAND1_MASK_1600_4.dat",01-10-2019 07:50,15-04-2021 14:50
"LODTN_LAND1_MASK_2560_2.dat",10-05-2016 10:50,23-04-2018 11:50
"LODTN_LAND1_MASK_4096_2.dat",10-05-2016 10:50,23-04-2018 11:50
"LODTN_LAND1_MASK_5184_5.dat",16-04-2021 10:00,
"LODTN_LAND1_MASK_800_1.dat",26-04-2016 15:00,07-05-2016 13:55
"LULLN_LAND1_MASK_1600_1.dat",16-12-2014 15:30,26-10-2018 07:50
"LULLN_LAND1_MASK_1600_3.dat",19-08-2020 10:20,
"LULLN_LAND1_MASK_2560_1.dat",16-12-2014 15:30,26-10-2018 07:50
"LULLN_LAND1_MASK_2560_2.dat",26-10-2018 10:45,19-08-2020 08:45
"LULLN_LAND1_MASK_2560_3.dat",19-08-2020 10:20,
"LULLN_LAND1_MASK_4096_1.dat",16-12-2014 15:30,26-10-2018 07:50
"LULLN_LAND1_MASK_4096_3.dat",19-08-2020 10:20,
"LULLN_LAND2_MASK_1600_1.dat",16-12-2014 15:30,26-10-2018 07:50
"LULLN_LAND2_MASK_1600_3.dat",19-08-2020 10:20,
"LULLN_LAND2_MASK_2560_1.dat",16-12-2014 15:30,26-10-2018 07:50
"LULLN_LAND2_MASK_2560_2.dat",26-10-2018 10:45,19-08-2020 08:45
"LULLN_LAND2_MASK_2560_3.dat",19-08-2020 10:20,
"LULLN_LAND2_MASK_4096_1.dat",16-12-2014 15:30,26-10-2018 07:50
"LULLN_LAND2_MASK_4096_3.dat",19-08-2020 10:20,
"MOORH_LAND1_MASK_1600_1.dat",04-12-2014 11:30,02-06-2016 09:45
"MOORH_LAND1_MASK_1600_2.dat",15-05-2017 10:45,14-08-2018 13:50
"MOORH_LAND1_MASK_1600_3.dat",15-08-2018 09:35,
"MOORH_LAND1_MASK_2560_1.dat",04-12-2014 11:30,02-06-2016 09:45
"MOORH_LAND1_MASK_2560_3.dat",15-08-2018 09:35,
"MOORH_LAND1_MASK_4096_1.dat",04-12-2014 11:30,02-06-2016 09:45
"MOORH_LAND1_MASK_4096_3.dat",15-08-2018 09:35,
"MOORH_LAND1_MASK_5184_3.dat",15-08-2018 09:35,
"MOREM_LAND1_MASK_1600_1.dat",16-11-2018 00:30,
"MOREM_LAND1_MASK_2560_1.dat",16-11-2018 00:30,
"MOREM_LAND1_MASK_5184_1.dat",16-11-2018 00:30,
"MORLY_LAND1_MASK_1600_1.dat",14-05-2014 05:00,04-08-2018 11:50
"MORLY_LAND1_MASK_1600_2.dat",18-09-2018 08:45,
"MORLY_LAND1_MASK_2560_1.dat",14-05-2014 05:00,04-08-2018 11:50
"MORLY_LAND1_MASK_2560_2.dat",18-09-2018 08:45,
"MORLY_LAND1_MASK_4096_1.dat",14-05-2014 05:00,04-08-2018 11:50
"MORLY_LAND1_MASK_4096_2.dat",18-09-2018 08:45,
"MORLY_LAND1_MASK_5184_2.dat",18-09-2018 08:45,
"MORLY_LAND2_MASK_1600_1.dat",14-05-2014 05:00,04-08-2018 11:50
"MORLY_LAND2_MASK_1600_2.dat",18-09-2018 08:45,
"MORLY_LAND2_MASK_2560_1.dat",14-05-2014 05:00,04-08-2018 11:50
"MORLY_LAND2_MASK_2560_2.dat",18-09-2018 08:45,
"MORLY_LAND2_MASK_4096_1.dat",14-05-2014 05:00,04-08-2018 11:50
"MORLY_LAND2_MASK_4096_2.dat",18-09-2018 08:45,
"MORLY_LAND2_MASK_5184_2.dat",18-09-2018 08:45,
"NWYKE_LAND1_MASK_1600_1.dat",16-10-2014 09:00,04-12-2018 14:50
"NWYKE_LAND1_MASK_1600_2.dat",05-12-2018 10:40,17-05-2023 00:00
"NWYKE_LAND1_MASK_2560_1.dat",16-10-2014 09:00,04-12-2018 14:50
"NWYKE_LAND1_MASK_4096_1.dat",16-10-2014 09:00,04-12-2018 14:50
"NWYKE_LAND1_MASK_4096_2.dat",05-12-2018 10:40,17-05-2023 00:00
"NWYKE_LAND1_MASK_4096_3.dat",17-05-2023 00:00,
"NWYKE_LAND2_MASK_1600_1.dat",16-10-2014 09:00,04-12-2018 14:50
"NWYKE_LAND2_MASK_1600_2.dat",05-12-2018 10:40,17-05-2023 00:00
"NWYKE_LAND2_MASK_2560_1.dat",16-10-2014 09:00,04-12-2018 14:50
"NWYKE_LAND2_MASK_4096_1.dat",16-10-2014 09:00,04-12-2018 14:50
"NWYKE_LAND2_MASK_4096_2.dat",05-12-2018 10:40,17-05-2023 00:00
"NWYKE_LAND2_MASK_4096_3.dat",17-05-2023 00:00,
"PLYNL_LAND1_MASK_1600_1.dat",05-11-2014 12:30,09-04-2016 07:50
"PLYNL_LAND1_MASK_2560_1.dat",05-11-2014 12:30,09-04-2016 07:50
