TIMESERIES_DEF,TIMESERIES_NAME,PARAMETER_ID,PROCESS_LEVEL,RESOLUTION,PERIODICITY,UNIT_ID,STATISTIC_ID
COV_UX_UZ_30MIN_PROCESSED,Covariance of wind speed components UX and UZ,WS,PROCESSED,PT30M,PT30M,MS-1,INST
COV_UY_UZ_30MIN_PROCESSED,Covariance of wind speed components UY and UZ,WS,PROCESSED,PT30M,PT30M,MS-1,INST
CTS_BARE_30MIN_PROCESSED,Bare counts,CTS,PROCESSED,PT30M,PT30M,CTS,TOTAL_PREC
CTS_MOD_30MIN_PROCESSED,Moderated counts,CTS,PROCESSED,PT30M,PT30M,CTS,TOTAL_PREC
CTS_MOD_PERIOD_30MIN_PROCESSED,Number of seconds CRNS tube took measurements,MEASURE_PERIOD,PROCESSED,PT30M,PT30M,SEC,TOTAL_PREC
CTS_MOD_RH_30MIN_PROCESSED,Relative humidity in CRNS tube,RH,PROCESSED,PT30M,PT30M,PCT,INST
CTS_MOD_TEMP_30MIN_PROCESSED,Temperature in CRNS tube,TEMP_CRNS,PROCESSED,PT30M,PT30M,DEGC,INST
CTS_MOD2_30MIN_PROCESSED,Moderated counts 2,CTS,PROCESSED,PT30M,PT30M,CTS,TOTAL_PREC
CTS_MOD2_PERIOD_30MIN_PROCESSED,Number of seconds CRNS tube 2 took measurements,MEASURE_PERIOD,PROCESSED,PT30M,PT30M,SEC,TOTAL_PREC
CTS_MOD2_RH_30MIN_PROCESSED,Relative humidity in CRNS tube 2,RH,PROCESSED,PT30M,PT30M,PCT,MEAN_PREC
CTS_MOD2_TEMP_30MIN_PROCESSED,Temperature in CRNS tube 2,TEMP_CRNS,PROCESSED,PT30M,PT30M,DEGC,MEAN_PREC
CTS_SNOW_30MIN_PROCESSED,Below ground counts,CTS,PROCESSED,PT30M,PT30M,CTS,TOTAL_PREC
CTS_SNOW_PERIOD_30MIN_PROCESSED,Number of seconds SnowFox tube took measurements,MEASURE_PERIOD,PROCESSED,PT30M,PT30M,SEC,TOTAL_PREC
CTS_SNOW_RH_30MIN_PROCESSED,Relative humidity in COSMOS Snow tube,RH,PROCESSED,PT30M,PT30M,PCT,INST
CTS_SNOW_TEMP_30MIN_PROCESSED,Temperature in COSMOS Snow tube,TEMP_CRNS,PROCESSED,PT30M,PT30M,DEGC,INST
E_SAT_MEAN_30MIN_PROCESSED,Saturated water vapour pressure,VAPOUR_P,PROCESSED,PT30M,PT30M,KPA,INST
G1_30MIN_PROCESSED,Soil heat flux 1 ,HEATFLUX_SOIL,PROCESSED,PT30M,PT30M,WM-2,MEAN_PREC
G2_30MIN_PROCESSED,Soil heat flux 2,HEATFLUX_SOIL,PROCESSED,PT30M,PT30M,WM-2,MEAN_PREC
HS_30MIN_PROCESSED,Sensible heat flux,HEATFLUX_SENSIBLE,PROCESSED,PT30M,PT30M,WM-2,INST
LWIN_30MIN_PROCESSED,Incoming longwave radiation,LWIN,PROCESSED,PT30M,PT30M,WM-2,MEAN_PREC
LWIN_MULT_30MIN_PROCESSED,Calibration factor for LWIN,FACTOR_CALIB,PROCESSED,PT30M,PT30M,UNITLESS,INST
LWOUT_30MIN_PROCESSED,Outgoing longwave radiation,LWOUT,PROCESSED,PT30M,PT30M,WM-2,MEAN_PREC
LWOUT_MULT_30MIN_PROCESSED,Calibration factor for LWOUT,FACTOR_CALIB,PROCESSED,PT30M,PT30M,UNITLESS,INST
MSLP_30MIN_PROCESSED,Mean sea level pressure,PA,PROCESSED,PT30M,PT30M,HPA,MEAN_PREC
PA_30MIN_PROCESSED,Atmospheric pressure,PA,PROCESSED,PT30M,PT30M,HPA,MEAN_PREC
PE_30MIN_PROCESSED,Potential evaporation,PE,PROCESSED,PT30M,PT30M,MM,TOTAL_PREC
PRECIP_30MIN_PROCESSED,Precipitation,PRECIPITATION,PROCESSED,PT30M,PT30M,MM,TOTAL_PREC
PRECIP_RAINE_30MIN_PROCESSED,Precipitation from RainE raingauge,PRECIPITATION,PROCESSED,PT30M,PT30M,MM,TOTAL_PREC
PRECIP_TIPPING_30MIN_PROCESSED,Precipitation tipping bucket raingauge,PRECIPITATION,PROCESSED,PT30M,PT30M,MM,TOTAL_PREC
PRECIP_TIPPING2_30MIN_PROCESSED,Precipitation tipping bucket raingauge 2,PRECIPITATION,PROCESSED,PT30M,PT30M,MM,TOTAL_PREC
PROFILE_VWC_15_30MIN_PROCESSED,Soil moisture content at 15cm depth,VWC_SOIL_15,PROCESSED,PT30M,PT30M,PCT,INST
PROFILE_SOILEC_15_30MIN_PROCESSED,Soil electrical conductivity at 15cm depth,COND_15,PROCESSED,PT30M,PT30M,PCT,INST
PROFILE_VWC_40_30MIN_PROCESSED,Soil moisture content at 40cm depth,VWC_SOIL_40,PROCESSED,PT30M,PT30M,PCT,INST
PROFILE_SOILEC_40_30MIN_PROCESSED,Soil electrical conductivity at 40cm depth,COND_40,PROCESSED,PT30M,PT30M,PCT,INST
PROFILE_VWC_65_30MIN_PROCESSED,Soil moisture content at 65cm depth,VWC_SOIL_65,PROCESSED,PT30M,PT30M,PCT,INST
PROFILE_SOILEC_65_30MIN_PROCESSED,Soil electrical conductivity at 65cm depth,COND_65,PROCESSED,PT30M,PT30M,PCT,INST
Q_30MIN_PROCESSED,Absolute humidity,Q,PROCESSED,PT30M,PT30M,GM-3,MEAN_PREC
